id,note,email,taxes_included,currency,subtotal_price,subtotal_price_set,total_tax,total_tax_set,total_price,total_price_set,created_at,updated_at,name,shipping_address_name,shipping_address_first_name,shipping_address_last_name,shipping_address_company,shipping_address_phone,shipping_address_address_1,shipping_address_address_2,shipping_address_city,shipping_address_country,shipping_address_country_code,shipping_address_province,shipping_address_province_code,shipping_address_zip,shipping_address_latitude,shipping_address_longitude,billing_address_name,billing_address_first_name,billing_address_last_name,billing_address_company,billing_address_phone,billing_address_address_1,billing_address_address_2,billing_address_city,billing_address_country,billing_address_country_code,billing_address_province,billing_address_province_code,billing_address_zip,billing_address_latitude,billing_address_longitude,customer_id,location_id,user_id,app_id,number,order_number,financial_status,fulfillment_status,processed_at,referring_site,cancel_reason,cancelled_at,closed_at,total_discounts,total_tip_received,current_total_price,current_total_discounts,current_subtotal_price,current_total_tax,current_total_discounts_set,current_total_duties_set,current_total_price_set,current_subtotal_price_set,current_total_tax_set,total_discounts_set,total_shipping_price_set,total_line_items_price,total_line_items_price_set,original_total_duties_set,total_weight,source_name,browser_ip,buyer_accepts_marketing,confirmed,token,cart_token,checkout_token,checkout_id,customer_locale,device_id,landing_site_ref,presentment_currency,reference,source_identifier,source_url,_fivetran_deleted,order_status_url,test,payment_gateway_names,note_attributes,client_details_user_agent,landing_site_base_url
5427074105535.0,,john.doe@example.com,False,USD,4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",2024-01-03 21:38:56,2024-01-03 21:39:57,#1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,2.0,1002.0,paid,fulfilled,2020-09-01 04:00:00,,,,2024-01-03 21:38:56,0.0,0.0,4800.0,0.0,4800.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,5e24dd7104b34f5297203160de584a53,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/5e24dd7104b34f5297203160de584a53/authenticate?key=cede87e0d2906e324a319c30cd6b0d31,False,[],[],,
5427069452479.0,,john.doe@example.com,False,USD,4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",2024-01-03 21:35:33,2024-01-03 21:36:34,#1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,1.0,1001.0,paid,fulfilled,2020-09-01 04:00:00,,,,2024-01-03 21:35:34,0.0,0.0,4800.0,0.0,4800.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",4800.0,"{'shop_money': {'amount': '4800.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '4800.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,1b1bb2f17c39b9991300c38a40053030,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/1b1bb2f17c39b9991300c38a40053030/authenticate?key=d6ad2aca1b4b1f2e80691c9fdf73c457,False,[],[],,
5427951599807.0,,john.doe@example.com,False,USD,2130.0,"{'shop_money': {'amount': '2130.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2130.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",2130.0,"{'shop_money': {'amount': '2130.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2130.00', 'currency_code': 'USD'}}",2024-01-04 11:57:28,2024-01-04 11:58:30,#1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,4.0,1004.0,paid,fulfilled,2024-01-04 11:57:28,,,,2024-01-04 11:57:29,0.0,0.0,2130.0,0.0,2130.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '2130.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2130.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '2130.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2130.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",2130.0,"{'shop_money': {'amount': '2130.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2130.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,4800d25a768d872ab5d03904ca78df0c,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/4800d25a768d872ab5d03904ca78df0c/authenticate?key=6b9fc5bf0c4b874f144f8fc753f7078b,False,[],[],,
5427934068927.0,,,False,USD,5997.6,"{'shop_money': {'amount': '5997.60', 'currency_code': 'USD'}, 'presentment_money': {'amount': '5997.60', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",5997.6,"{'shop_money': {'amount': '5997.60', 'currency_code': 'USD'}, 'presentment_money': {'amount': '5997.60', 'currency_code': 'USD'}}",2024-01-04 11:37:42,2024-01-04 11:37:43,#1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62780014783.0,73683927231.0,1354745.0,3.0,1003.0,pending,,2024-01-04 11:37:41,,,,,0.0,0.0,5997.6,0.0,5997.6,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '5997.60', 'currency_code': 'USD'}, 'presentment_money': {'amount': '5997.60', 'currency_code': 'USD'}}","{'shop_money': {'amount': '5997.60', 'currency_code': 'USD'}, 'presentment_money': {'amount': '5997.60', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",5997.6,"{'shop_money': {'amount': '5997.60', 'currency_code': 'USD'}, 'presentment_money': {'amount': '5997.60', 'currency_code': 'USD'}}",,2721360.0,,152.58.209.46,False,True,10245948551c9e021d8f73f0fae5be7a,,6e469976ccdaf4c2478929da1b50f799,28672413106367.0,en,,,USD,e29b7870159014a612782effc1b81b67,e29b7870159014a612782effc1b81b67,,False,https://ikigailabs.myshopify.com/57014386879/orders/10245948551c9e021d8f73f0fae5be7a/authenticate?key=06024d6acb626f2481c741140a33cb49,False,['manual'],[],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",
5428177928383.0,,john.doe@example.com,False,USD,60.0,"{'shop_money': {'amount': '60.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '60.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",60.0,"{'shop_money': {'amount': '60.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '60.00', 'currency_code': 'USD'}}",2024-01-04 13:56:27,2024-01-04 13:57:28,#1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,16.0,1016.0,pending,,2024-01-04 13:56:27,,,,,0.0,0.0,60.0,0.0,60.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '60.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '60.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '60.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '60.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",60.0,"{'shop_money': {'amount': '60.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '60.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,1845121ad1f9e65492adbb80c2528065,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/1845121ad1f9e65492adbb80c2528065/authenticate?key=91f8c005e3b05d9e3e9be2c64e9d571b,False,[],"[{'name': 'Region', 'value': 'NA', 'order_id': None}, {'name': 'Country', 'value': 'USA', 'order_id': None}, {'name': 'Store', 'value': 'Store01', 'order_id': None}]",,
5428127695039.0,,john.doe@example.com,False,USD,50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",2024-01-04 13:12:18,2024-01-04 14:00:54,#1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,15.0,1015.0,pending,,2024-01-04 13:12:18,,,,,0.0,0.0,50.0,0.0,50.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,cc8d3abe29265af04327d8471dd704ae,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/cc8d3abe29265af04327d8471dd704ae/authenticate?key=246d05afd2ba58b715ce06b23460675f,False,[],"[{'name': 'Region', 'value': 'NA', 'order_id': None}, {'name': 'Country', 'value': 'USA', 'order_id': None}, {'name': 'Store', 'value': 'Store01', 'order_id': None}]",,
5428126941375.0,,john.doe@example.com,False,USD,50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",2024-01-04 13:11:25,2024-01-04 13:12:27,#1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,14.0,1014.0,pending,,2024-01-04 13:11:25,,,,,0.0,0.0,50.0,0.0,50.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,c9f1d7c890a6202ae20f150d5e6b5492,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/c9f1d7c890a6202ae20f150d5e6b5492/authenticate?key=9f234d2fcb1b0f4b2bc45c566ccfc5b1,False,[],"[{'name': 'Region', 'value': 'NA', 'order_id': None}, {'name': 'Country', 'value': 'USA', 'order_id': None}, {'name': 'Store', 'value': 'Store01', 'order_id': None}]",,
5428125270207.0,,john.doe@example.com,False,USD,50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",2024-01-04 13:09:51,2024-01-04 13:10:52,#1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,13.0,1013.0,pending,,2024-01-04 13:09:51,,,,,0.0,0.0,50.0,0.0,50.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,f33a011bd236a88301485d646187ca7c,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/f33a011bd236a88301485d646187ca7c/authenticate?key=001c5c6ede83f8c4f3cde68b5bf829d3,False,[],"[{'name': 'Region', 'value': 'NA', 'order_id': None}, {'name': 'Country', 'value': 'USA', 'order_id': None}, {'name': 'Store', 'value': 'Store01', 'order_id': None}]",,
5428120551615.0,,john.doe@example.com,False,USD,50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",2024-01-04 13:04:41,2024-01-04 13:05:42,#1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,12.0,1012.0,pending,,2024-01-04 13:04:41,,,,,0.0,0.0,50.0,0.0,50.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",50.0,"{'shop_money': {'amount': '50.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '50.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,700ef9e64ae826b4ddb9dc16d430b292,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/700ef9e64ae826b4ddb9dc16d430b292/authenticate?key=28851553508ebfc4d352948353eedf50,False,[],"[{'name': 'Region', 'value': 'NA', 'order_id': None}, {'name': 'Country', 'value': 'USA', 'order_id': None}, {'name': 'Store', 'value': 'Store01', 'order_id': None}]",,
5428112097471.0,,john.doe@example.com,False,USD,40.0,"{'shop_money': {'amount': '40.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '40.00', 'currency_code': 'USD'}}",0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",40.0,"{'shop_money': {'amount': '40.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '40.00', 'currency_code': 'USD'}}",2024-01-04 12:55:32,2024-01-04 12:58:20,#1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7347350929599.0,,,78714339329.0,11.0,1011.0,paid,fulfilled,2020-08-02 00:00:00,,,,,0.0,0.0,40.0,0.0,40.0,0.0,"{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",,"{'shop_money': {'amount': '40.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '40.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '40.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '40.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}","{'shop_money': {'amount': '0.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '0.00', 'currency_code': 'USD'}}",40.0,"{'shop_money': {'amount': '40.00', 'currency_code': 'USD'}, 'presentment_money': {'amount': '40.00', 'currency_code': 'USD'}}",,0.0,78714339329.0,,False,True,0354f75cf8f84c11c2507a1f1b3104bc,,,,,,,USD,,,,False,https://ikigailabs.myshopify.com/57014386879/orders/0354f75cf8f84c11c2507a1f1b3104bc/authenticate?key=238681a6c5151df9110b0d1444ce2bee,False,[],[],,
